295008,civitai,768x1152,1684432449,"RAW photo, best quality, realistic, photo-realistic., masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity, k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, medium hair., short bang, pink hair, floating hair novafrogstyle, beautiful detailed girl, detailed fingers, extremely detailed eyes and face, beautiful detailed nose, beautiful detailed eyes, long eyelashes, light on face, looking at viewer, closed mouth., girl, cute, young, mature face, full body., small breasts, realistic face, realistic body, beautiful detailed thigh, ulzzang--v.., <lorakoreanDollLikeness_v.>, business suit, cross-laced clothes, collared shirt, open clothes, in office, detailed office, open cardigan, black thighhighs, miniskirt, black underwear, unbuttoned shirt","paintings, sketches, worst quality, low quality, normal quality, lowres, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, extra fingers, fewer fingers, watermark, white letters, multi nipples, bad anatomy, bad hands, text, error, missing fingers, missing arms, missing legs, extra digit, fewer digits, cropped, worst quality, jpeg artifacts, signature, watermark, username, bad feet, {Multiple people}, blurry, poorly drawn hands, poorly drawn face, mutation, deformed, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, wrong feet bottom render, abdominal stretch, briefs, knickers, kecks, thong, {{fused fingers}}, {{bad body}}, bad-picture-chill-v, ng_deepnegative_v_t, EasyNegative, bad proportion body to legs, wrong toes, extra toes, missing toes, weird toes,  body,  pussy,  upper,  lower,  head,  hand,  feet, extra long leg, super long leg, mirrored image, mirrored noise, bad_prompt_version., aged up, old",DPM++ SDE Karras,7
256477,civitai,512x768,3589893419,"RAW photo, best quality, realistic, photo-realistic., girl, high quality, high detailed skin., puffy eyes, gorgeous hair, <loraepiNoiseoffset_v.>, dark room., rim lighting., dimly lit., dark night., indoors, portrait, black hair, dark background, short hair, <lorakoreanDollLikeness_v.>, <lorabreastinclassBetter_v.>, <lorafashionGirl_v.>","worst quality., low quality., monochrome., EasyNegative, bad-artist bad-image-v-, bad_prompt_version, ng_deepnegative_v_t, verybadimagenegative_v.-, vile_prompt, bad-hands-, painting, illustration",DPM++ 2M Karras,7
375790,civitai,576x768,3401667259,"masterpiece, best quality, ultra-detailed, full body., girl, chibi, cute, smile, white Bob haircut, red eyes, earring, white shirt, black skirt, lace legwear, sitting on red sofa, seductive posture, smile, A sleek black coffee table sits in front of the sofa and a few decorative items are placed on the shelves, beautiful detailed face, beautiful detailed eyes, <lorablindbox_v_mix>","low quality., worst quality.",Euler a,7
163560,civitai,704x856,762635564,"realistic, portrait of a girl, AI language model, silver hair, question answering, smart, kind, energetic, cheerful, creative, with sparkling eyes and a contagious smile, information providing, conversation engaging, wide range of topics, accurate responses, helpful responses, knowledgeable, reliable, friendly, intelligent, sleek and futuristic design elements, and a complex network of circuits and processors. Others may imagine me as a friendly and approachable virtual assistant, with a smiling avatar or animated character representing me on their screen. Still, others may envision me as a disembodied voice, speaking from an unseen source, providing helpful and informative responses with a calm and reassuring tone","sexy, paintings, loli, big head, sketches, worst quality, low quality, normal quality, lowres, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, nsfw, nipples, extra fingers, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck.",DPM++ SDE Karras,7
377175,civitai,512x768,2215488272,"[white background.] hexagon, detailed face., smile, chinese style, immortal demeanor, long-haired man, peaks, deep ravines, stars, turbulent winds, soaring dragons, cross-shaped sword, purple clouds, giant birds, portal, smoke, flames, mystical runes, ancient robe, red petals, halo, lightning, thunder, <loralightAndShadow_v.>, <loralightlineArtLora_v.>, <lorayoneyamaMaiStyleLora_yoneyamaMaiV.>, <loragachaSplashLORA_gachaSplash.>","EasyNegative, worst quality, low quality, badhandv",DPM++ 2M Karras,8
76049,civitai,512x768,2337355207,"masterpiece, best quality., bird's eye view, asymmetrical, blue ocean, low tide, sea waves, coastal road, sandy beach, piers, sailboats, yachts, ship wake, contrail, cars, tourists, lighthouse, seagulls, horizon, breeze, summer, morning, sunny, cloud, calm, fresh air, depth of field","EasyNegative, greyscale, monochrome, water mark, signature",DPM++ 2M Karras,7
150224,civitai,768x1024,1791574510,"a cute kitten made out of metal, cyborg., [tail | detailed wire]., intricate details, hdr, intricate details, hyperdetailed., cinematic shot, vignette, centered","deformed, distorted, disfigured., poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, mutated hands and fingers., disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, flowers, human, man, woman",Euler a,6.5
124526,civitai,512x768,4061029740,"extremely detailed CG unity k wallpaper, masterpiece, best quality, ultra-detailed, best illustration, best shadow, ultra-high res, realistic, photo-realistic., girl, shopping mall rooftop cafe, white opaque shirt with bow tie, puffy eyes, looking at viewer, smile, close up, <lorakoreanDollLikeness_v.>","paintings, sketches, worst quality, low quality, normal quality, low res, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, bad legs, error legs, bad feet",DPM++ SDE,7
366222,civitai,512x512,3592093690,"boy, photograph of Donald Trump, the_trump, business suit, ahegao face, tongue out, upper body, <loraact.tonguedropAhegaoALoraIn_tonguedropV> best quality, masterpiece, intricate details, highly detailed, bokeh, depth of field <loradont.donaldTrump_v.>","easynegative, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, deformed iris, deformed pupils, semi-realistic, cgi, d, render, sketch, cartoon, drawing, anime., text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck",DPM++ 2M Karras,7.5
620759,civitai,768x768,3895052816,"colorwater, negative space, girl, woman, lips, trees., flowers., birds., bamboo., lakes, Hangzhou, <loraXiaorenshu_v.>","mutated hands, poorly drawn hands., fused fingers., too many fingers., bad hands, missing fingers, extra digit, artist name, bad_prompt_version easynegative",DPM++ SDE Karras,9
