prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale
1,people,512x768,1434108678,"masterpiece, best quality, best shadow, intricate, 1girl, solo, closeup portrait, standing, pink hair, long hair, hair ornament, floating hair, blue eyes, looking at viewer, looking away, smile, closed mouth, floral print milkmaid dress, beautiful background","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
2,people,512x768,166329422,"best quality, masterpiece, best shadow, intricate, ultra high res, 1man, long hair, messy hair,  pilot sunglasses, white shirt, dynamic pose, looking at viewer, from below, Tokyo city background, night city","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
3,scenery,768x512,2230358527,"masterpiece, best quality, high quality, extremely detailed CG unity 8k wallpaper,landscape with texture ,A place with lots of leaves on the ground and autumn colors,award winning photography, Bokeh, Depth of Field, HDR, bloom, Chromatic Aberration, extremely detailed, trending on artstation","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
4,animal,512x768,2995762643,"masterpiece, best quality, best shadow, intricate, highly detailed, black cat, tin cute, warm lighting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
5,vehicle,768x512,3518075494,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, illustration, light, red car, bright, motor vehicle, ground vehicle, sports car, vehicle focus, road, need for speed, moving, wet, cyberpunk, tokyo, neon lights, drift","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
6,architecture,768x512,2282177607,"insanely detailed wide angle architecture photography, cozy contemporary living room, award-winning contemporary interior design, bright warm sunlight, furniture, indoors, building, living room, rug, plant, couch, intersting lights and shadows","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
7,illustration,768x512,132340236,"portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, hdr","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
8,art,512x768,384804,"masterpiece, best quality, best shadow, intricate, oil painting, art, painting, violet flower, jar, table, white cloth, brush, classic, impressionism, artwork by Monet","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
9,food,768x512,1719354594,"masterpiece, best quality, best shadow, intricate, 1 bowl of ramen","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
10,abstract,768x512,3660892251,Pneumonoultramicroscopicsilicovolcanoconiosis, ,,7.0
11,abstract,768x512,7461982159,supercalifragilisticexpialidocious, ,,7.0
12,abstract,768x512,8486466558,Incomprehensibilities, ,,7.0
13,abstract,768x512,925534487,The collision of two black holes in the center of a galaxy., ,,7.0
14,abstract,768x512,128112445,Oil painting generated by artificial intelligence, ,,7.0
15,animal,512x768,1509721018,"masterpiece, best quality, best shadow, intricate, a close-up of a blue dragonfly on a daffodil","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
16,animal,512x768,5443568375,"masterpiece, best quality, best shadow, intricate, The mouse the cat watches is jumping in the air.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
17,animal,512x768,3322673031,"masterpiece, best quality, best shadow, intricate, Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Marble statue.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
18,animal,512x768,2906332466,"masterpiece, best quality, best shadow, intricate, A cartoon tiger face","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
19,animal,512x768,901409224,"masterpiece, best quality, best shadow, intricate, corgi pizza","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
20,art,512x768,8007266095,"masterpiece, best quality, best shadow, intricate, light and happiness throughout and finding its way to every corner of the world, abstract oil painting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
21,art,512x768,4134248873,"masterpiece, best quality, best shadow, intricate, a painting of a sport car in the style of Dali","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
22,art,512x768,5499100310,"masterpiece, best quality, best shadow, intricate, A tornado made of sharks crashing into a skyscraper. painting in the style of Hokusai.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
23,art,512x768,9133783679,"masterpiece, best quality, best shadow, intricate, a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
24,art,512x768,4131109744,"masterpiece, best quality, best shadow, intricate, an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
25,artifact,768x512,5984593491,"masterpiece, best quality, best shadow, intricate, a blue t-shirt with a dinosaur on it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
26,artifact,768x512,4556155879,"masterpiece, best quality, best shadow, intricate, a white robot, a red robot and a black robot standing together","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
27,artifact,768x512,1461816475,"masterpiece, best quality, best shadow, intricate, a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
28,artifact,768x512,8115899322,"masterpiece, best quality, best shadow, intricate, a silver doorknocker on a mahoghany door","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
29,artifact,768x512,6636029176,"masterpiece, best quality, best shadow, intricate, a yellow diamond-shaped sign with a wooly mammoth silhouette","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
30,food,768x512,2003469210,"masterpiece, best quality, best shadow, intricate, A bowl of Beef Pho","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
31,food,768x512,8554415131,"masterpiece, best quality, best shadow, intricate, five green peppers to the right of two red onions","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
32,food,768x512,1409520675,"masterpiece, best quality, best shadow, intricate, a glass of orange juice with an orange peel stuck on the rim","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
