prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale
1,people,512x768,1434108678,"masterpiece, best quality, best shadow, intricate, 1girl, solo, closeup portrait, standing, pink hair, long hair, hair ornament, floating hair, blue eyes, looking at viewer, looking away, smile, closed mouth, floral print milkmaid dress, beautiful background","extra fingers, fewer fingers, bad hands, extra hands, lowres, bad anatomy, watermark, symmetric, NSFW",,7
2,people,512x768,166329422,"best quality, masterpiece, best shadow, intricate, ultra high res, 1man, long hair, messy hair,  pilot sunglasses, white shirt, dynamic pose, looking at viewer, from below, Tokyo city background, night city","extra fingers, fewer fingers, bad hands, lowres, bad anatomy, watermark, girl, female, NSFW",,7
3,scenery,768x512,2230358527,"masterpiece, best quality, high quality, extremely detailed CG unity 8k wallpaper,landscape with texture ,A place with lots of leaves on the ground and autumn colors,award winning photography, Bokeh, Depth of Field, HDR, bloom, Chromatic Aberration, extremely detailed, trending on artstation","canvas frame, disfigured, bad art, weird colors, blurry, duplicate, out of frame, NSFW",,7
4,animal,512x768,2995762643,"masterpiece, best quality, best shadow, intricate, highly detailed, black cat, tin cute, warm lighting","canvas frame, disfigured, bad art, weird colors, blurry, duplicate, out of frame, NSFW",,7
5,vehicle,768x512,3518075494,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, illustration, light, red car, bright, motor vehicle, ground vehicle, sports car, vehicle focus, road, need for speed, moving, wet, cyberpunk, tokyo, neon lights, drift","worst quality, bad quality, lowres, watermark",,7
6,architecture,768x512,2282177607,"insanely detailed wide angle architecture photography, cozy contemporary living room, award-winning contemporary interior design, bright warm sunlight, furniture, indoors, building, living room, rug, plant, couch, intersting lights and shadows","worst quality, bad quality, lowres, watermark",,7
7,illustration,768x512,132340236,"portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, hdr","extra fingers, fewer fingers, bad hands, worst quality, bad quality, lowres, watermark",,7
8,art,512x768,384804,"masterpiece, best quality, best shadow, intricate, oil painting, art, painting, violet flower, jar, table, white cloth, brush, classic, impressionism, artwork by Monet","worst quality, bad quality, lowres, watermark, photo",,7
9,food,768x512,1719354594,"masterpiece, best quality, best shadow, intricate, 1 bowl of ramen","worst quality, bad quality, lowres, watermark, multiple bows",,7
10,abstract,768x512,3660892251,"masterpiece, best quality, best shadow, intricate, Pneumonoultramicroscopicsilicovolcanoconiosis","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
11,abstract,768x512,7461982159,"masterpiece, best quality, best shadow, intricate, supercalifragilisticexpialidocious","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
12,abstract,768x512,8486466558,"masterpiece, best quality, best shadow, intricate, Incomprehensibilities","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
13,abstract,768x512,925534487,"masterpiece, best quality, best shadow, intricate, The collision of two black holes in the center of a galaxy.","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
14,abstract,768x512,128112445,"masterpiece, best quality, best shadow, intricate, Oil painting generated by artificial intelligence","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
15,animal,512x768,1509721018,"masterpiece, best quality, best shadow, intricate, a close-up of a blue dragonfly on a daffodil","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
16,animal,512x768,5443568375,"masterpiece, best quality, best shadow, intricate, The mouse the cat watches is jumping in the air.","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
17,animal,512x768,3322673031,"masterpiece, best quality, best shadow, intricate, Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Marble statue.","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
18,animal,512x768,2906332466,"masterpiece, best quality, best shadow, intricate, A cartoon tiger face","extra fingers, fewer fingers, extra hands, bad hands, worst quality, bad quality, lowres, watermark, nsfw",,7
